mechanism,benefit_scale,cost_scale,seed,initial_mean_trait,final_mean_trait,trait_gain,final_std_trait,final_identity_count,emergence_success
indirect_reciprocity,1.2,0.2,6,0.11990100497716376,0.998571355816739,0.8786703508395752,0.006112934320908929,1,1
indirect_reciprocity,1.2,0.2,7,0.1142221685091476,0.9972793838670166,0.8830572153578691,0.00799561446127705,1,1
indirect_reciprocity,1.2,0.3,0,0.11982660185613107,0.9793618196912567,0.8595352178351257,0.022531325411755083,1,1
indirect_reciprocity,1.2,0.3,1,0.11914007165541113,0.997331355569751,0.87819128391434,0.008953774160848698,1,1
indirect_reciprocity,1.2,0.3,2,0.11797424272741182,0.9971261669269936,0.8791519241995818,0.010455171691343062,1,1
indirect_reciprocity,1.2,0.3,3,0.12236215370906406,0.9967966443837049,0.8744344906746409,0.008453945926549243,1,1
indirect_reciprocity,1.2,0.3,4,0.12040570537335116,0.9917364830796749,0.8713307777063237,0.012884917793017791,1,1
indirect_reciprocity,1.2,0.3,5,0.11899369572264468,0.9966443750304556,0.8776506793078109,0.009845036355351059,1,1
indirect_reciprocity,1.2,0.3,6,0.11990100497716376,0.9969014375979263,0.8770004326207625,0.007179486340140322,1,1
indirect_reciprocity,1.2,0.3,7,0.1142221685091476,0.9963162753030789,0.8820941067939313,0.009116143171406419,1,1
network_reciprocity,0.8,0.1,0,0.11982660185613107,0.5616984682729108,0.4418718664167797,0.0666144116733998,1,1
network_reciprocity,0.8,0.1,1,0.11914007165541113,0.3487760488114529,0.22963597715604178,0.05298011891539657,1,0
network_reciprocity,0.8,0.1,2,0.11797424272741182,0.33986648368420075,0.22189224095678894,0.06751668372434673,1,0
network_reciprocity,0.8,0.1,3,0.12236215370906406,0.3600537358912848,0.23769158218222075,0.07842871365386765,1,0
network_reciprocity,0.8,0.1,4,0.12040570537335116,0.3653905570901222,0.24498485171677103,0.09306584004128672,1,0
network_reciprocity,0.8,0.1,5,0.11899369572264468,0.3384584203989557,0.219464724676311,0.06648390986417228,1,0
network_reciprocity,0.8,0.1,6,0.11990100497716376,0.5677228174570301,0.44782181247986635,0.09037297284828658,1,1
network_reciprocity,0.8,0.1,7,0.1142221685091476,0.35416396445218634,0.23994179594303874,0.0666781881973011,1,0
network_reciprocity,0.8,0.2,0,0.11982660185613107,0.021113055924934558,-0.09871354593119652,0.029410906110231824,1,0
network_reciprocity,0.8,0.2,1,0.11914007165541113,0.04985828961176902,-0.0692817820436421,0.04982942188324821,1,0
network_reciprocity,0.8,0.2,2,0.11797424272741182,0.01808793084622267,-0.09988631188118915,0.039185544228983835,1,0
network_reciprocity,0.8,0.2,3,0.12236215370906406,0.017921425649827998,-0.10444072805923606,0.03097745917192959,1,0
network_reciprocity,0.8,0.2,4,0.12040570537335116,0.05796239535225492,-0.06244331002109624,0.057850067852490306,1,0
network_reciprocity,0.8,0.2,5,0.11899369572264468,0.04615813577748508,-0.0728355599451596,0.042888983146349036,1,0
network_reciprocity,0.8,0.2,6,0.11990100497716376,0.023078290517761255,-0.0968227144594025,0.030837268371228126,1,0
network_reciprocity,0.8,0.2,7,0.1142221685091476,0.030137754122107913,-0.08408441438703969,0.03851048260918885,1,0
network_reciprocity,0.8,0.3,0,0.11982660185613107,0.007998106702575941,-0.11182849515355513,0.018968010746441128,1,0
network_reciprocity,0.8,0.3,1,0.11914007165541113,0.008675850690895664,-0.11046422096451547,0.015612703593484715,1,0
network_reciprocity,0.8,0.3,2,0.11797424272741182,0.003676491447592774,-0.11429775127981905,0.012066733555438067,1,0
network_reciprocity,0.8,0.3,3,0.12236215370906406,0.01014005131514955,-0.1122221023939145,0.01965380380454622,1,0
