kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.3,1.6666666666666667,1.0,0.2,0.01,3,0.21012090271653616,0.043217370318444755,0.11665572300524756,0.21784538070572673
0.5,0.3,1.6666666666666667,1.0,0.2,0.01,4,0.3648613829303857,0.041002780115621695,0.12114467164362658,0.3642838934781824
0.5,0.3,1.6666666666666667,1.0,0.2,0.01,5,0.20899974346675357,0.036413708617566966,0.11827106584221367,0.208652540132871
0.5,0.3,1.6666666666666667,1.0,0.3,0.01,0,0.1918989302317028,0.06638606696142345,0.11317173708318674,0.1970072082167029
0.5,0.3,1.6666666666666667,1.0,0.3,0.01,1,0.18667579648728136,0.042508675197091624,0.11862336521493885,0.1893035482155205
0.5,0.3,1.6666666666666667,1.0,0.3,0.01,2,0.18834359658895958,0.04458744959027369,0.11624490433638243,0.19544712540876316
0.5,0.3,1.6666666666666667,1.0,0.3,0.01,3,0.17094629029355737,0.038176763203163426,0.10873529706471025,0.17114898426019845
0.5,0.3,1.6666666666666667,1.0,0.3,0.01,4,0.12523654964423783,0.11067622689215958,0.12114467164362658,0.2501788155330375
0.5,0.3,1.6666666666666667,1.0,0.3,0.01,5,0.14739767076936522,0.060855044618689576,0.1094562243119801,0.1504304539247379
0.5,0.3,1.6666666666666667,1.2,0.1,0.01,0,0.3550099861297371,0.03888195644720957,0.11896941909343647,0.3523644133386325
0.5,0.3,1.6666666666666667,1.2,0.1,0.01,1,0.3319967338884531,0.037633225647583236,0.11862336521493885,0.33004981294210406
0.5,0.3,1.6666666666666667,1.2,0.1,0.01,2,0.27682689173957903,0.04281119385330981,0.11757638181640452,0.2744393155656351
0.5,0.3,1.6666666666666667,1.2,0.1,0.01,3,0.42741247136552757,0.08949014973709993,0.11753118812823783,0.4248454621650525
0.5,0.3,1.6666666666666667,1.2,0.1,0.01,4,0.4017058825907476,0.04149833464642124,0.12114467164362658,0.4019086763911164
0.5,0.3,1.6666666666666667,1.2,0.1,0.01,5,0.3286549805790342,0.04568865728332897,0.11926604755157912,0.32858366281671664
0.5,0.3,1.6666666666666667,1.2,0.2,0.01,0,0.3050008945018602,0.03830068435340352,0.11793738240824049,0.30863122125630466
0.5,0.3,1.6666666666666667,1.2,0.2,0.01,1,0.27146885344401805,0.040108819339879816,0.11862336521493885,0.27153240702256587
0.5,0.3,1.6666666666666667,1.2,0.2,0.01,2,0.2199417362481227,0.04053453445449397,0.11757638181640452,0.221414044886727
0.5,0.3,1.6666666666666667,1.2,0.2,0.01,3,0.4287851528622615,0.06533245427640649,0.11709078207840228,0.4230660061528152
0.5,0.3,1.6666666666666667,1.2,0.2,0.01,4,0.3629870286398391,0.03425884981134997,0.12114467164362658,0.3618782645297173
0.5,0.3,1.6666666666666667,1.2,0.2,0.01,5,0.2979625067096106,0.046610341714277956,0.11926604755157912,0.2971912859760286
0.5,0.3,1.6666666666666667,1.2,0.3,0.01,0,0.27091581078282817,0.0509672482858044,0.11706678118582345,0.27502118752519256
0.5,0.3,1.6666666666666667,1.2,0.3,0.01,1,0.209665502107525,0.06097090957116715,0.11862336521493885,0.2108074454775692
