model_variant,benefit_from_altruism,cost_of_altruism,harshness,disturbance_interval,disturbance_fraction,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg,occupied_avg
uniform_culling,0.7,0.1,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.75,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.75,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.75,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.7,0.15,0.96,50,0.5,0.39,0.39,1,1107.8,190.2,1303,0.499039
uniform_culling,0.75,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.7,0.15,0.96,50,0.25,0.39,0.39,1,583.6,1330,687.4,0.735717
uniform_culling,0.7,0.2,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.75,0.1,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.7,0.25,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.75,0.1,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.7,0.3,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.7,0.35,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.7,0.25,0.96,50,0.5,0.39,0.39,0,0,611.6,1989.4,0.23514
uniform_culling,0.7,0.2,0.96,50,0.5,0.39,0.39,0.2,8.6,666,1926.4,0.259362
uniform_culling,0.7,0.35,0.96,50,0.5,0.39,0.39,0,0,611.6,1989.4,0.23514
uniform_culling,0.7,0.3,0.96,50,0.5,0.39,0.39,0,0,611.6,1989.4,0.23514
uniform_culling,0.75,0.15,0.96,50,0.5,0.39,0.39,0.2,1297.6,3.4,1300,0.500192
uniform_culling,0.8,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.8,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.75,0.15,0.96,50,0.25,0.39,0.39,1,1771.8,179.2,650,0.750096
uniform_culling,0.8,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.75,0.2,0.96,50,0.25,0.39,0.39,0,0,1678.6,922.4,0.645367
uniform_culling,0.75,0.25,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.8,0.1,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.8,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.75,0.35,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.75,0.3,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.75,0.25,0.96,50,0.5,0.39,0.39,0,0,594,2007,0.228374
uniform_culling,0.75,0.35,0.96,50,0.5,0.39,0.39,0,0,611.6,1989.4,0.23514
uniform_culling,0.75,0.2,0.96,50,0.5,0.39,0.39,0.4,27.4,718.4,1855.2,0.286736
uniform_culling,0.75,0.3,0.96,50,0.5,0.39,0.39,0,0,611.6,1989.4,0.23514
uniform_culling,0.8,0.1,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.8,0.15,0.96,50,0.25,0.39,0.39,0.4,1936.2,14.8,650,0.750096
uniform_culling,0.85,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.8,0.15,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.85,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.85,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.85,0.1,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.8,0.2,0.96,50,0.25,0.39,0.39,0,0,1678.6,922.4,0.645367
uniform_culling,0.85,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.85,0.1,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.8,0.3,0.96,50,0.25,0.39,0.39,0,0,1678.6,922.4,0.645367
uniform_culling,0.85,0.15,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.8,0.25,0.96,50,0.5,0.39,0.39,0,0,594,2007,0.228374
uniform_culling,0.8,0.35,0.96,50,0.25,0.39,0.39,0,0,1678.6,922.4,0.645367
