scenario,seed,simulation_steps,burn_in_fraction,partner_persistence_probability,selection_temperature,rounds_per_pair_per_step,mean_cooperation_after_burn_in,mean_ALLD_after_burn_in,mean_reciprocal_after_burn_in,final_mean_cooperation_rate,final_ALLD_frequency,final_reciprocal_strategy_frequency,final_threshold_success
coop_majority_with_allc,65,5000,0.2,0.9,1.0,3,0.99936625,0.0003725,0.99865125,1.0,0.0,1.0,1
coop_majority_with_allc,66,5000,0.2,0.9,1.0,3,0.9810279166666667,0.01116875,0.9833,1.0,0.0,1.0,1
coop_majority_with_allc,67,5000,0.2,0.9,1.0,3,0.99965125,0.000215,0.999785,1.0,0.0,1.0,1
coop_majority_with_allc,68,5000,0.2,0.9,1.0,3,1.0,0.0,0.99999125,1.0,0.0,1.0,1
coop_majority_with_allc,69,5000,0.2,0.9,1.0,3,0.9998470833333334,9.25e-05,0.9992712499999999,1.0,0.0,1.0,1
coop_majority_with_allc,70,5000,0.2,0.9,1.0,3,0.99989875,5.25e-05,0.9991187499999999,1.0,0.0,1.0,1
coop_majority_with_allc,71,5000,0.2,0.9,1.0,3,0.97802125,0.01311,0.952225,1.0,0.0,1.0,1
coop_majority_with_allc,72,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_with_allc,73,5000,0.2,0.9,1.0,3,0.9577545833333333,0.02567625,0.9670575,1.0,0.0,1.0,1
coop_majority_with_allc,74,5000,0.2,0.9,1.0,3,0.061735,0.92134375,0.05236,0.0,1.0,0.0,0
coop_majority_with_allc,75,5000,0.2,0.9,1.0,3,0.99506125,0.002855,0.97039625,1.0,0.0,1.0,1
coop_majority_with_allc,76,5000,0.2,0.9,1.0,3,1.0,0.0,0.971915,1.0,0.0,1.0,1
coop_majority_with_allc,77,5000,0.2,0.9,1.0,3,0.9970095833333333,0.00168625,0.99796125,1.0,0.0,1.0,1
coop_majority_with_allc,78,5000,0.2,0.9,1.0,3,0.9995404166666667,0.00026875,0.98374,1.0,0.0,1.0,1
coop_majority_with_allc,79,5000,0.2,0.9,1.0,3,1.0,0.0,0.99957375,1.0,0.0,1.0,1
coop_majority_with_allc,80,5000,0.2,0.9,1.0,3,1.0,0.0,0.9902875,1.0,0.0,1.0,1
coop_majority_with_allc,81,5000,0.2,0.9,1.0,3,1.0,0.0,0.99876125,1.0,0.0,1.0,1
coop_majority_with_allc,82,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_with_allc,83,5000,0.2,0.9,1.0,3,0.98977625,0.00575875,0.9914875,1.0,0.0,1.0,1
coop_majority_with_allc,84,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_with_allc,85,5000,0.2,0.9,1.0,3,0.3074970833333333,0.6328775,0.3238975,0.005,0.995,0.0,0
coop_majority_with_allc,86,5000,0.2,0.9,1.0,3,0.9991895833333333,0.000455,0.99943625,1.0,0.0,1.0,1
coop_majority_with_allc,87,5000,0.2,0.9,1.0,3,0.9961766666666667,0.0022075,0.99362875,1.0,0.0,1.0,1
coop_majority_with_allc,88,5000,0.2,0.9,1.0,3,0.9701508333333333,0.0179875,0.90604,1.0,0.0,0.935,1
coop_majority_with_allc,89,5000,0.2,0.9,1.0,3,1.0,0.0,0.99952625,1.0,0.0,1.0,1
coop_majority_with_allc,90,5000,0.2,0.9,1.0,3,1.0,0.0,0.95402375,1.0,0.0,0.925,1
coop_majority_with_allc,91,5000,0.2,0.9,1.0,3,0.9999154166666666,5e-05,0.99995,1.0,0.0,1.0,1
coop_majority_with_allc,92,5000,0.2,0.9,1.0,3,1.0,0.0,0.98081,1.0,0.0,1.0,1
coop_majority_with_allc,93,5000,0.2,0.9,1.0,3,0.9977066666666666,0.001335,0.9948275,1.0,0.0,1.0,1
coop_majority_with_allc,94,5000,0.2,0.9,1.0,3,1.0,0.0,0.89383875,1.0,0.0,0.965,1
coop_majority_with_allc,95,5000,0.2,0.9,1.0,3,0.5674216666666667,0.36284375,0.57246,0.05,0.91,0.06,0
coop_majority_with_allc,96,5000,0.2,0.9,1.0,3,0.9910191666666667,0.00560625,0.9879375,1.0,0.0,1.0,1
coop_majority_with_allc,97,5000,0.2,0.9,1.0,3,0.99648125,0.00198625,0.99545375,1.0,0.0,1.0,1
coop_majority_with_allc,98,5000,0.2,0.9,1.0,3,0.028189583333333334,0.955415,0.02947625,0.0,1.0,0.0,0
coop_majority_with_allc,99,5000,0.2,0.9,1.0,3,0.9999025,5.25e-05,0.9999475,1.0,0.0,1.0,1
alld_majority,0,5000,0.2,0.9,1.0,3,0.00100625,0.99654125,0.00330125,0.0,1.0,0.0,0
alld_majority,1,5000,0.2,0.9,1.0,3,0.6939683333333333,0.21386,0.7691,1.0,0.0,0.995,1
alld_majority,2,5000,0.2,0.9,1.0,3,0.7518983333333333,0.15995625,0.808085,1.0,0.0,0.98,1
alld_majority,3,5000,0.2,0.9,1.0,3,0.9867595833333334,0.00748375,0.99251625,1.0,0.0,1.0,1
alld_majority,4,5000,0.2,0.9,1.0,3,0.9456941666666666,0.03199,0.96801,1.0,0.0,1.0,1
alld_majority,5,5000,0.2,0.9,1.0,3,0.009287916666666667,0.97619375,0.02069,0.0,1.0,0.0,0
alld_majority,6,5000,0.2,0.9,1.0,3,0.005177083333333333,0.986745,0.01064875,0.0,1.0,0.0,0
alld_majority,7,5000,0.2,0.9,1.0,3,0.5961791666666667,0.34099,0.65222375,1.0,0.0,1.0,1
alld_majority,8,5000,0.2,0.9,1.0,3,0.9624941666666667,0.021978750000000002,0.97680625,1.0,0.0,1.0,1
alld_majority,9,5000,0.2,0.9,1.0,3,0.8888954166666667,0.07911125,0.92088875,1.0,0.0,1.0,1
alld_majority,10,5000,0.2,0.9,1.0,3,0.00315125,0.99658375,0.0005725,0.0,1.0,0.0,0
alld_majority,11,5000,0.2,0.9,1.0,3,0.025132500000000002,0.94902625,0.0497675,0.0,1.0,0.0,0
alld_majority,12,5000,0.2,0.9,1.0,3,0.0012766666666666666,0.99531375,0.00459125,0.0,1.0,0.0,0
alld_majority,13,5000,0.2,0.9,1.0,3,0.7005116666666666,0.26103875,0.7374775,1.0,0.0,1.0,1
alld_majority,14,5000,0.2,0.9,1.0,3,0.9660645833333333,0.01997625,0.98002375,1.0,0.0,1.0,1
alld_majority,15,5000,0.2,0.9,1.0,3,0.008399583333333334,0.98719625,0.00903375,0.0,1.0,0.0,0
alld_majority,16,5000,0.2,0.9,1.0,3,0.98088,0.0105475,0.9894525,1.0,0.0,1.0,1
alld_majority,17,5000,0.2,0.9,1.0,3,0.94045625,0.03558875,0.9643725,1.0,0.0,1.0,1
alld_majority,18,5000,0.2,0.9,1.0,3,0.8716975,0.09188875,0.90810125,1.0,0.0,1.0,1
alld_majority,19,5000,0.2,0.9,1.0,3,0.38636166666666666,0.528185,0.47113875,0.9816666666666667,0.01,0.99,1
